Year,Rec,FSC,Comm
1918,0.9,0.7,17.1
1919,0.9,0.7,42.5
1920,0.9,0.7,21.3
1921,0.9,0.7,18.4
1922,0.9,0.7,23.1
1923,0.9,0.7,21.8
1924,0.9,0.7,25.3
1925,0.9,0.7,21.6
1926,0.9,0.7,25.1
1927,0.9,0.7,25.1
1928,0.9,0.7,25.4
1929,0.9,0.7,33.2
1930,0.9,0.7,30.6
1931,0.9,0.7,19.6
1932,0.9,0.8,22.9
1933,0.9,0.8,11
1934,0.9,0.9,13
1935,0.9,1,16.6
1936,0.9,1.1,18
1937,0.9,1.1,14.1
1938,0.9,1.2,49
1939,0.9,1.3,9.4
1940,0.9,1.3,10.2
1941,0.9,1.4,6.3
1942,0.9,1.4,14.5
1943,0.9,1.5,84
1944,0.9,1.5,125
1945,0.9,1.6,134
1946,1,1.6,90
1947,2,1.6,28.9
1948,3.1,1.7,43.8
1949,4.1,1.7,59
1950,5.1,1.7,25
1951,6.1,1.8,18
1952,7.2,1.8,13.8
1953,8.2,1.9,29.1
1954,9.2,1.9,18
1955,10.2,2,17.9
1956,11.3,2.1,17
1957,12.3,2.1,29.3
1958,13.3,2.2,42.6
1959,14.3,2.3,44.8
1960,15.4,2.3,35.2
1961,17.2,2.4,26.9
1962,17.2,2.4,42.6
1963,17.2,2.4,32.9
1964,17.2,2.4,19.6
1965,17.2,2.5,17.9
1966,17.2,2.5,14.4
1967,17.2,2.5,21.8
1968,17.2,2.5,23.6
1969,17.2,2.5,27.5
1970,18.2,2.5,34.8
1971,19.1,2.5,29.1
1972,20,2.5,32.6
1973,20.9,2.6,38.9
1974,21.8,2.6,19.4
1975,22.7,2.6,15.5
1976,23.6,2.6,19.2
1977,24.5,2.7,53.1
1978,25.4,2.7,60.2
1979,26.3,2.7,95
1980,27.2,2.7,70
1981,15.9,2.7,81
1982,33.40323099,2.8,54.9
1983,29.53304629,2.8,51.5
1984,22.02304046,2.9,74.8
1985,24.84371959,2.9,119.6
1986,32.13094357,3.1,136
1987,21.62188962,3.6,131
1988,32.86592454,3.8,174
1989,36.15660093,4,174
1990,29.31266454,4.2,174
1991,33.28933201,4.4,145
1992,26.2830689,4.5,43.8
1993,17.01143872,4.7,55.8
1994,26.61918995,4.8,121.1
1995,21.20888102,4.9,60.7
1996,19.78391028,5,26.3
1997,15.63881431,5.1,20.9
1998,14.2869144,5.2,32.3
1999,11.37379577,5.3,20
2000,15.99576,5.4,25
2001,21.99417,5.5,28
2002,8.37636,5.6,7.1
2003,9.45453,5.7,10.6
2004,7.68414,5.9,9.7
2005,3.87195,2.7,10.8
2006,6.15528,2.7,4.1
2007,2.36799,2.8,7.52017
2008,4.44963,2.8,9.44757
2009,4.13091,2.8,6.45552
2010,4.60401,2.8,6.5174
2011,4.78578,2.8,6.74885
2012,5.07213,2.8,5.10264
2013,11.14275,2.8,5.13691
2014,1.89987,2.8,5.06826
2015,6.10548,2.8,5.48743
2016,8.92416,2.8,4.28921
2017,10.30362,2.8,7.00375
2018,7.78374,2.8,2.7157
2019,4.8804,2.8,2.75833
