Year,Area,Management Action
1986,Toute la côte,Introduction d’un permis de catégorie « ZN »* pour la pêche dirigée aux lignes du sébaste avec un programme de journaux de bord sur une base volontaire
1986,Eaux intérieur,Fermeture du 15 février au 15 avril 
1987,Eaux intérieur,Fermeture du 1 janvier au 15 avril 
1987,Eaux intérieur,"Quota de 75 tonnes métriques provisoire, zone 12"
1988,Eaux intérieur,Fermeture de la zone 13 pour tout l'année 
1988,Eaux intérieur,Fermeture du 1 janvier au 30 avril 
1990,Eaux intérieur,Fermeture du 1 janvier au 30 avril et 1 novembre au 31 décembre
1991,Toute la côte,"Délivrance de permis par zone,  592 licences intérieures"
1991,Eaux intérieur,Fermeture du chalut
1991,Eaux intérieur,Pêche au sébaste vivant seulement
1991,Eaux intérieur,"Fermeture du 1 janvier au 14 mai, sans quotas de prises accessoires de sébaste"
1991,Eaux intérieur,2-3-jour ouvert dans zone 13 
1991,Toute la côte,Le programme de permis à accès limité a été annoncé
1992,Eaux intérieur,74 Eaux intérieur permis à accès limité
1993,Toute la côte,Gestion des quotas de TAC pour le vivaneau rouge et les autres sébastes par cinq régions de gestion
1993,Toute la côte,Fermetures de zones et temporelles
1994,Toute la côte,Programme de journaux de bord par facturation des utilisateurs
1994,Toute la côte,Limites de déclenchement pour les espèces de chalut
1994,Toute la côte,Allocations de captures accessoires
1995,Toute la côte,Programme de vérification à quai par facturation des utilisateurs
1995,Toute la côte,Aggregate species quota management for yelloweye rockfish
1995,Toute la côte,"Périodes de pêche mensuelles et limites connexes, options liées aux débarquements annuels et limites de sorties annuelles"
1995,Toute la côte,Renonciation du dépassement des limites concernant des périodes de pêche
1996,Toute la côte,"Changement des quotas d’espèces, TAC des sébastes aux yeux jaunes"
1997,Toute la côte,Début de l’attribution de 5 % des quotas aux fins de recherche
1998-1999,Eaux intérieur,100 % du TAC commercial de sébaste attribué au secteur de l’hameçon
1999-2000,Toute la côte,Couverture des observateurs en mer de 10 %
1999-2000,Toute la côte,"Fermetures de zones données : ACS, zones de pêche fermées aux flottilles de pêche commerciale aux lignes du poisson de fond"
2000-2001,Toute la côte,Répartition des espèces de sébaste entre les secteurs du flétan du Pacifique et de l’hameçon
2001-2002,Eaux intérieur,Nombre limité d’observateurs en mer
2002-2003,Eaux intérieur,Réduction de 75 % du TAC de sébaste côtier par rapport à 2001
2002-2003,Toute la côte,Élargissement des programmes de surveillance des prises
2002-2003,Toute la côte,Instauration de 1 % de zones provisoires de pêche limitée où toutes les activités de pêche commerciale visant le poisson de fond sont interdites (pêches aux lignes et au chalut)
2004-2005,Toute la côte,Agrandissement des ACS à 8 % de l’habitat des sébastes
2005-2006,Eaux intérieur,Agrandissement des ACS à 28 % de l’habitat des sébastes
2005-2006,Toute la côte,Présentation d’un programme pilote d’intégration des permis de pêche au poisson de fond : surveillance de 100 % des prises
2006-2007,Toute la côte,Introduction d’un programme pilote d’intégration des permis de pêche au poisson de fond
2012,Toute la côte,Établir les limites de la pêche au chalut en consultation avec l’industrie
2015,Eaux intérieur,Fermeture de récifs d’éponges siliceuses dans le détroit de Georgia et la baie Howe
