pfma,year,pieces,tonnes,annualeffort,totaleffort
PFMA 13,1982,690.2219361,1.718652621,101370,110493.3
PFMA 14,1982,1418.248892,3.531439742,119633,130399.97
PFMA 15,1982,978.354004,2.43610147,10355,11286.95
PFMA 16,1982,8193.770393,20.40248828,55072,60028.48
PFMA 17,1982,856.7721743,2.133362714,58344,63594.96
PFMA 18,1982,148.9648363,0.370922442,49276,53710.84
PFMA 19,1982,474.2578477,1.180902041,69122,75342.98
PFMA 20,1982,135.2522063,0.336777994,24819,27052.71
PFMA 28,1982,100.1966928,0.249489765,46391,50566.19
PFMA 29,1982,418.9132217,1.043093922,25011,27261.99
PFMA 13,1983,1288.364984,3.208028811,118095,128723.55
PFMA 14,1983,1412.360601,3.516777896,99391,108336.19
PFMA 15,1983,1006.268631,2.505608892,9511,10366.99
PFMA 16,1983,5596.311944,13.93481674,50288,54813.92
PFMA 17,1983,905.9571506,2.255833305,58404,63660.36
PFMA 18,1983,135.3912933,0.33712432,41114,44814.26
PFMA 19,1983,346.6421491,0.863138951,55136,60098.24
PFMA 20,1983,585.6054985,1.458157691,48550,52919.5
PFMA 28,1983,122.0339426,0.303864517,36626,39922.34
PFMA 29,1983,461.7249661,1.149695166,16613,18108.17
PFMA 13,1984,800.3996954,1.992995242,142774,155623.66
PFMA 14,1984,1198.308768,2.983788833,105410,114896.9
PFMA 15,1984,1151.478375,2.867181154,10549,11498.41
PFMA 16,1984,2445.854045,6.090176571,81349,88670.41
PFMA 17,1984,1773.218774,4.415314747,86446,94226.14
PFMA 18,1984,134.1868151,0.33412517,42405,46221.45
PFMA 19,1984,321.2627511,0.79994425,65744,71660.96
PFMA 20,1984,432.2500368,1.076302592,38697,42179.73
PFMA 28,1984,103.0208877,0.25652201,39963,43559.67
PFMA 29,1984,484.6144136,1.20668989,37751,41148.59
PFMA 13,1985,507.6134798,1.263957565,132934,144898.06
PFMA 14,1985,1028.128853,2.560040844,118224,128864.16
PFMA 15,1985,459.5177105,1.144199099,12095,13183.55
PFMA 16,1985,5849.289464,14.56473077,87292,95148.28
PFMA 17,1985,1046.786787,2.606499099,69868,76156.12
PFMA 18,1985,80.23016174,0.199773103,32448,35368.32
PFMA 19,1985,304.036204,0.757050148,62289,67895.01
PFMA 20,1985,235.6208319,0.586695871,52780,57530.2
PFMA 28,1985,68.93907746,0.171658303,34414,37511.26
PFMA 29,1985,397.2348561,0.989114792,26172,28527.48
PFMA 13,1986,748.074943,1.862706608,132178,144074.02
PFMA 14,1986,1715.068539,4.270520663,117359,127921.31
PFMA 15,1986,725.2434894,1.805856289,14123,15394.07
PFMA 16,1986,7423.000852,18.48327212,70539,76887.51
PFMA 17,1986,925.9322736,2.305571361,65610,71514.9
PFMA 18,1986,85.54442553,0.21300562,28000,30520
PFMA 19,1986,402.4094458,1.00199952,50036,54539.24
PFMA 20,1986,372.9966893,0.928761756,46933,51156.97
PFMA 28,1986,66.94778068,0.166699974,31701,34554.09
PFMA 29,1986,438.7749645,1.092549662,26492,28876.28
PFMA 13,1987,576.1356657,1.434577807,121369,132292.21
PFMA 14,1987,1882.345776,4.687040981,122735,133781.15
PFMA 15,1987,796.9089267,1.984303227,12104,13193.36
PFMA 16,1987,3125.266377,7.781913278,57794,62995.46
PFMA 17,1987,1153.739016,2.87281015,73109,79688.81
PFMA 18,1987,98.51572941,0.245304166,30377,33110.93
PFMA 19,1987,331.122535,0.824495112,52901,57662.09
PFMA 20,1987,458.2560595,1.141057588,69258,75491.22
PFMA 28,1987,40.41949521,0.100644543,23349,25450.41
PFMA 29,1987,220.7802264,0.549742764,26635,29032.15
PFMA 13,1988,864.7316757,2.153181872,135853,148079.77
PFMA 14,1988,2450.026827,6.1005668,150787,164357.83
PFMA 15,1988,747.2530993,1.860660217,11196,12203.64
PFMA 16,1988,5802.245054,14.44759018,62719,68363.71
PFMA 17,1988,1528.749366,3.806585922,82905,90366.45
PFMA 18,1988,113.3334587,0.282200312,35024,38176.16
PFMA 19,1988,397.4907837,0.989752051,58240,63481.6
PFMA 20,1988,599.9836609,1.493959316,66706,72709.54
PFMA 28,1988,56.99129678,0.141908329,18819,20512.71
PFMA 29,1988,638.361258,1.589519533,33208,36196.72
PFMA 13,1989,661.1369795,1.646231079,128697,140279.73
PFMA 14,1989,2640.359627,6.574495471,133622,145647.98
PFMA 15,1989,834.4863096,2.077870911,9427,10275.43
PFMA 16,1989,7354.255311,18.31209573,48906,53307.54
PFMA 17,1989,1638.612543,4.080145232,74794,81525.46
PFMA 18,1989,131.7182966,0.327978558,32879,35838.11
PFMA 19,1989,655.2601205,1.6315977,126326,137695.34
PFMA 28,1989,56.81897302,0.141479243,19418,21165.62
PFMA 29,1989,548.075104,1.364707009,29269,31903.21
PFMA 13,1990,649.3058107,1.616771469,119310,130047.9
PFMA 14,1990,1898.020241,4.726070401,128932,140535.88
PFMA 15,1990,664.582857,1.654811314,7971,8688.39
PFMA 16,1990,6459.045718,16.08302384,41654,45402.86
PFMA 17,1990,789.3184925,1.965403046,67306,73363.54
PFMA 18,1990,46.98126851,0.116983359,20058,21863.22
PFMA 19,1990,364.6772434,0.908046336,38481,41944.29
PFMA 20,1990,374.8418288,0.933356154,57964,63180.76
PFMA 28,1990,59.90165361,0.149155117,14663,15982.67
PFMA 29,1990,465.4793199,1.159043507,28915,31517.35
PFMA 13,1991,599.1641906,1.491918835,91630,99876.7
PFMA 14,1991,1947.78045,4.849973322,96772,105481.48
PFMA 15,1991,584.0598937,1.454309135,8297,9043.73
PFMA 16,1991,7226.173112,17.99317105,38670,42150.3
PFMA 17,1991,1020.186749,2.540265004,49312,53750.08
PFMA 18,1991,43.67226242,0.108743933,18611,20285.99
PFMA 19,1991,267.0002507,0.664830624,32301,35208.09
PFMA 20,1991,156.8716709,0.390610461,74669,81389.21
PFMA 28,1991,104.791993,0.260932063,14160,15434.4
PFMA 29,1991,1419.50907,3.534577583,27957,30473.13
PFMA 13,1992,513.8811823,1.279564144,84804,92436.36
PFMA 14,1992,1154.934453,2.875786787,122943,134007.87
PFMA 15,1992,339.0016754,0.844114172,7349,8010.41
PFMA 16,1992,6612.167685,16.46429753,58403,63659.27
PFMA 17,1992,896.4212878,2.232089007,57921,63133.89
PFMA 18,1992,61.75928973,0.153780631,18216,19855.44
PFMA 19,1992,300.6447977,0.748605546,29173,31798.57
PFMA 20,1992,198.3350886,0.493854371,52234,56935.06
PFMA 28,1992,68.95822454,0.171705979,14765,16093.85
PFMA 29,1992,409.3456749,1.01927073,13520,14736.8
PFMA 13,1993,556.4874746,1.385653812,96948,105673.32
PFMA 14,1993,770.3709701,1.918223716,124920,136162.8
PFMA 15,1993,335.7807569,0.836094085,8982,9790.38
PFMA 16,1993,3178.381033,7.914168772,58897,64197.73
PFMA 17,1993,752.9316477,1.874799803,74275,80959.75
PFMA 18,1993,35.71741177,0.088936355,15824,17248.16
PFMA 19,1993,318.0285624,0.79189112,31417,34244.53
PFMA 20,1993,240.00739,0.597618401,53233,58023.97
PFMA 28,1993,52.64490862,0.131085822,9836,10721.24
PFMA 29,1993,591.5529434,1.472966829,23694,25826.46
PFMA 13,1994,990.5082676,2.466365586,93333,101732.97
PFMA 14,1994,2061.731329,5.13371101,109147,118970.23
PFMA 15,1994,760.4051833,1.893408906,11753,12810.77
PFMA 16,1994,4449.490636,11.07923168,39654,43222.86
PFMA 17,1994,987.3131165,2.45840966,52693,57435.37
PFMA 18,1994,35.34680309,0.08801354,12317,13425.53
PFMA 19,1994,310.9537744,0.774274898,19028,20740.52
PFMA 20,1994,203.8008791,0.507464189,67364,73426.76
PFMA 28,1994,115.9164491,0.288631958,13295,14491.55
PFMA 29,1994,774.9712939,1.929678522,22160,24154.4
PFMA 13,1995,683.1795737,1.701117139,59711,65084.99
PFMA 14,1995,1055.579902,2.628393955,70611,76965.99
PFMA 15,1995,596.675158,1.485721143,7056,7691.04
PFMA 16,1995,4458.596006,11.10190405,32199,35096.91
PFMA 17,1995,761.8150567,1.896919491,35062,38217.58
PFMA 18,1995,37.37853283,0.093072547,13331,14530.79
PFMA 19,1995,219.0489102,0.545431786,18573,20244.57
PFMA 20,1995,151.9629036,0.37838763,63935,69689.15
PFMA 28,1995,50.96953873,0.126914151,9207,10035.63
PFMA 29,1995,502.4173172,1.25101912,13957,15213.13
PFMA 13,1996,822.1253833,2.047092204,54571,59482.39
PFMA 14,1996,439.5485135,1.094475799,49690,54162.1
PFMA 15,1996,505.9526193,1.259822022,8794,9585.46
PFMA 16,1996,5006.587503,12.46640288,36709,40012.81
PFMA 17,1996,339.5269029,0.845421988,33444,36453.96
PFMA 18,1996,20.40333157,0.050804296,11087,12084.83
