survey_series_id,survey_series_desc,survey_id,survey_desc,year,fishing_event_id,set_number,lat_hours,lat_mins,long_hours,long_mins,fe_end_deployment_time,fe_begin_retrieval_time,location,depth_stratum,depth_m,hook_code,skate_count,lglsp_hook_count,ye_count,dogfish_count
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,1,49,32.30,124,36.15,11/13/2004 7:15,11/13/2004 9:19,Hornby Island,1,53,1,NA,250,0,13
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,1,49,32.30,124,36.15,11/13/2004 7:15,11/13/2004 9:19,Hornby Island,1,53,3,NA,250,0,12
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,2,49,32.32,124,37.12,11/13/2004 8:49,11/13/2004 11:13,Hornby Island,2,91.4,1,NA,250,0,24
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,2,49,32.32,124,37.12,11/13/2004 8:49,11/13/2004 11:13,Hornby Island,2,91.4,3,NA,250,0,2
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,3,49,32.07,124,35.27,11/13/2004 10:52,11/13/2004 13:39,Hornby Island,3,144.9,1,NA,250,1,90
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,3,49,32.07,124,35.27,11/13/2004 10:52,11/13/2004 13:39,Hornby Island,3,144.9,3,NA,250,0,38
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,4,49,33.98,124,36.27,11/13/2004 13:00,11/13/2004 15:01,Hornby Island,4,175.6,1,NA,250,0,132
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,4,49,33.98,124,36.27,11/13/2004 13:00,11/13/2004 15:01,Hornby Island,4,175.6,3,NA,250,0,68
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,5,49,42.45,124,18.33,11/15/2004 12:45,11/15/2004 14:53,Sinclair Bank,4,220,1,NA,250,2,91
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,5,49,42.45,124,18.33,11/15/2004 12:45,11/15/2004 14:53,Sinclair Bank,4,220,3,NA,250,0,56
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,6,49,43.45,124,18.27,11/15/2004 14:11,11/15/2004 17:09,Sinclair Bank,3,150,1,NA,250,0,27
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,6,49,43.45,124,18.27,11/15/2004 14:11,11/15/2004 17:09,Sinclair Bank,3,150,3,NA,250,0,13
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,7,49,41.81,124,17.03,11/15/2004 16:41,11/15/2004 18:50,Sinclair Bank,2,73.2,1,NA,250,1,23
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,7,49,41.81,124,17.03,11/15/2004 4:41,11/15/2004 18:50,Sinclair Bank,2,73.2,3,NA,250,1,9
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,8,49,42.23,124,16.46,11/15/2004 18:30,11/15/2004 20:40,Sinclair Bank,1,54.9,1,NA,250,0,0
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,8,49,42.23,124,16.46,11/15/2004 18:30,11/15/2004 20:40,Sinclair Bank,1,54.9,3,NA,250,0,3
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,9,49,28.17,124,02.27,11/17/2004 6:11,11/17/2004 8:23,Epsom Point,4,195.7,1,NA,250,12,120
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,9,49,28.17,124,02.27,11/17/2004 6:11,11/17/2004 8:23,Epsom Point,4,195.7,3,NA,250,0,51
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,10,49,29.85,124,02.75,11/17/2004 7:33,11/17/2004 10:32,Epsom Point,2,75,1,NA,250,0,11
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,10,49,29.85,124,02.75,11/17/2004 7:33,11/17/2004 10:32,Epsom Point,2,75,3,NA,250,1,30
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,11,49,30.95,124,02.78,11/17/2004 10:16,11/17/2004 12:03,Epsom Point,1,34.7,1,NA,250,0,1
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,11,49,30.95,124,02.78,11/17/2004 10:16,11/17/2004 12:03,Epsom Point,1,34.7,3,NA,250,0,0
76,Strait of Georgia Dogfish Longline,,2004 Strait of Georgia Dogfish Longline Survey,2004,NA,12,49,22.93,123,43.38,11/19/2004 8:29,11/19/2004 10:35,Halibut Bank,3,109.7,1,NA,250,0,55
