survey,set_number,fishing_event_id,species_code,species_desc,catch_count,survey_series_id,survey_id,survey_series_desc,survey_desc,survey_abbrev,fe_major_level_id,trip_id,block_designation,grouping_code,start_depth_m,end_depth_m,mean_bottom_depth_m,start_deploy_time,end_deploy_time,start_latitude,start_longitude,end_latitude,end_longitude,skate_count,num_hooks,num_empty_hooks,num_bait_only_hooks
Dogfish Longline,1,116343,437,Canary Rockfish,1,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,1,121,9,547,68,112,87,36:46.0,50:25.0,49.52945,-124.579016,49.536283,-124.5971,1,294,80,186
Dogfish Longline,1,116343,44,North Pacific Spiny Dogfish ,3,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,1,121,9,547,68,112,87,36:46.0,50:25.0,49.52945,-124.579016,49.536283,-124.5971,1,294,80,186
Dogfish Longline,1,116343,424,Quillback Rockfish,3,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,1,121,9,547,68,112,87,36:46.0,50:25.0,49.52945,-124.579016,49.536283,-124.5971,1,294,80,186
Dogfish Longline,1,116343,424,Quillback Rockfish,1,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,1,121,9,547,68,112,87,36:46.0,50:25.0,49.52945,-124.579016,49.536283,-124.5971,1,294,80,186
Dogfish Longline,1,116343,66,Spotted Ratfish,3,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,1,121,9,547,68,112,87,36:46.0,50:25.0,49.52945,-124.579016,49.536283,-124.5971,1,294,80,186
Dogfish Longline,1,116343,442,Yelloweye Rockfish,18,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,1,121,9,547,68,112,87,36:46.0,50:25.0,49.52945,-124.579016,49.536283,-124.5971,1,294,80,186
Dogfish Longline,2,116345,59,Longnose Skate,4,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,2,121,9,548,136,155,142,53:50.0,05:03.0,49.545033,-124.591816,49.539333,-124.582516,1,299,155,63
Dogfish Longline,2,116345,44,North Pacific Spiny Dogfish ,57,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,2,121,9,548,136,155,142,53:50.0,05:03.0,49.545033,-124.591816,49.539333,-124.582516,1,299,155,63
Dogfish Longline,2,116345,66,Spotted Ratfish,5,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,2,121,9,548,136,155,142,53:50.0,05:03.0,49.545033,-124.591816,49.539333,-124.582516,1,299,155,63
Dogfish Longline,2,116345,442,Yelloweye Rockfish,15,76,542,Strait of Georgia Dogfish Longline,2019 Strait of Georgia Longline Dogfish Survey,SOG Dogfish Longline,2,121,9,548,136,155,142,53:50.0,05:03.0,49.545033,-124.591816,49.539333,-124.582516,1,299,155,63
