Year,Rec,Comm
1918,0.9,17.1
1919,0.9,42.5
1920,0.9,21.3
1921,0.9,18.4
1922,0.9,23.1
1923,0.9,21.8
1924,0.9,25.3
1925,0.9,21.6
1926,0.9,25.1
1927,0.9,25.1
1928,0.9,25.4
1929,0.9,33.2
1930,0.9,30.6
1931,0.9,19.6
1932,0.9,22.9
1933,0.9,11
1934,0.9,13
1935,0.9,16.6
1936,0.9,18
1937,0.9,14.1
1938,0.9,49
1939,0.9,9.4
1940,0.9,10.2
1941,0.9,6.3
1942,0.9,14.5
1943,0.9,84
1944,0.9,125
1945,0.9,134
1946,1,90
1947,2,28.9
1948,3.1,43.8
1949,4.1,59
1950,5.1,25
1951,6.1,18
1952,7.2,13.8
1953,8.2,29.1
1954,9.2,18
1955,10.2,17.9
1956,11.3,17
1957,12.3,29.3
1958,13.3,42.6
1959,14.3,44.8
1960,15.4,35.2
1961,17.2,26.9
1962,17.2,42.6
1963,17.2,32.9
1964,17.2,19.6
1965,17.2,17.9
1966,17.2,14.4
1967,17.2,21.8
1968,17.2,23.6
1969,17.2,27.5
1970,18.2,34.8
1971,19.1,29.1
1972,20,32.6
1973,20.9,38.9
1974,21.8,19.4
1975,22.7,15.5
1976,23.6,19.2
1977,24.5,53.1
1978,25.4,60.2
1979,26.3,95
1980,27.2,70
1981,15.9,81
1982,33.40323099,54.9
1983,29.53304629,51.5
1984,22.02304046,74.8
1985,24.84371959,119.6
1986,32.13094357,157.891
1987,21.62188962,98.0405
1988,32.86592454,128.32268
1989,36.15660093,119.42234
1990,29.31266454,128.52961
1991,33.28933201,60.62949
1992,26.2830689,25.55083
1993,17.01143872,41.59907
1994,26.61918995,89.16487
1995,21.20888102,34.91819
1996,19.78391028,26.5724
1997,15.63881431,25.5785
1998,14.2869144,35.61857
1999,11.37379577,24.68583
2000,15.99576,27.22606
2001,21.99417,24.28047
2002,8.37636,3.36677
2003,9.45453,4.99912
2004,7.68414,4.0426
2005,3.87195,5.70797
2006,6.15528,3.76934
2007,2.36799,7.52017
2008,4.44963,9.44757
2009,4.13091,6.45552
2010,4.60401,6.5174
2011,4.78578,6.74885
2012,5.07213,5.10264
2013,11.14275,5.13691
2014,1.89987,5.06826
2015,6.10548,5.48743
2016,8.92416,4.28921
2017,10.30362,7.00375
2018,7.78374,2.7157
2019,4.8804,2.75833
